date,calls
28/02/2022,16
01/03/2022,17
02/03/2022,10
03/03/2022,22
04/03/2022,14
05/03/2022,19
06/03/2022,14
07/03/2022,13
08/03/2022,9
09/03/2022,13
10/03/2022,8
11/03/2022,15
12/03/2022,11
13/03/2022,13
14/03/2022,7
15/03/2022,21
16/03/2022,13
17/03/2022,17
18/03/2022,19
19/03/2022,17
20/03/2022,7
21/03/2022,25
22/03/2022,19
23/03/2022,20
24/03/2022,11
25/03/2022,15
26/03/2022,17
27/03/2022,8
28/03/2022,13
29/03/2022,20
30/03/2022,9
31/03/2022,15
04/01/2022,7
04/02/2022,17
04/03/2022,8
04/04/2022,19
04/05/2022,14
04/06/2022,7
04/07/2022,13
04/08/2022,8
04/09/2022,8
04/10/2022,7
11/04/2022,18
12/04/2022,13
13/04/2022,20
14/04/2022,21
15/04/2022,16
16/04/2022,13
17/04/2022,14
18/04/2022,13
19/04/2022,16
20/04/2022,17
21/04/2022,15
22/04/2022,11
23/04/2022,5
24/04/2022,15
25/04/2022,13
26/04/2022,17
27/04/2022,18
28/04/2022,10
29/04/2022,13
30/04/2022,10
01/05/2022,6
02/05/2022,15
03/05/2022,10
04/05/2022,11
05/05/2022,20
06/05/2022,15
07/05/2022,12
08/05/2022,3
09/05/2022,23
10/05/2022,12
11/05/2022,11
12/05/2022,10
13/05/2022,15
14/05/2022,14
15/05/2022,13
16/05/2022,21
17/05/2022,17
18/05/2022,18
19/05/2022,10
20/05/2022,20
21/05/2022,7
22/05/2022,13
23/05/2022,11
24/05/2022,11
25/05/2022,15
26/05/2022,11
27/05/2022,15
28/05/2022,18
29/05/2022,10
30/05/2022,18
31/05/2022,15
01/06/2022,15
02/06/2022,11
03/06/2022,13
04/06/2022,9
05/06/2022,13
06/06/2022,18
07/06/2022,20
08/06/2022,10
09/06/2022,15
10/06/2022,12
11/06/2022,17
12/06/2022,13
13/06/2022,15
14/06/2022,12
15/06/2022,13
16/06/2022,18
17/06/2022,20
18/06/2022,13
19/06/2022,9
20/06/2022,23
21/06/2022,23
22/06/2022,16
23/06/2022,20
24/06/2022,7
25/06/2022,13
26/06/2022,14
27/06/2022,18
28/06/2022,21
29/06/2022,17
30/06/2022,21
01/07/2022,3
02/07/2022,8
03/07/2022,8
04/07/2022,14
05/07/2022,17
06/07/2022,10
07/07/2022,13
08/07/2022,18
09/07/2022,16
10/07/2022,12
11/07/2022,7
12/07/2022,14
13/07/2022,13
14/07/2022,17
15/07/2022,11
16/07/2022,8
17/07/2022,12
18/07/2022,14
19/07/2022,12
20/07/2022,15
21/07/2022,17
22/07/2022,6
23/07/2022,14
24/07/2022,7
25/07/2022,13
26/07/2022,11
27/07/2022,16
28/07/2022,9
29/07/2022,16
30/07/2022,13
31/07/2022,8
01/08/2022,11
02/08/2022,15
03/08/2022,12
04/08/2022,9
05/08/2022,20
06/08/2022,21
07/08/2022,16
08/08/2022,18
09/08/2022,12
10/08/2022,9
11/08/2022,5
12/08/2022,8
13/08/2022,15
14/08/2022,7
15/08/2022,8
16/08/2022,14
17/08/2022,23
18/08/2022,18
19/08/2022,14
20/08/2022,17
21/08/2022,10
22/08/2022,18
23/08/2022,16
24/08/2022,9
25/08/2022,17
26/08/2022,13
27/08/2022,13
28/08/2022,10
29/08/2022,18
30/08/2022,13
31/08/2022,10
